phrase1,phrase2,label
जाए,जाए,0
चाय,चाय,0
बह,बह,0
सेवन,सेवन,0
तो,तो,0
हैं,हैं,0
और,और,0
फिटकौड़ी,फिटकौड़ी,0
बार,बार,0
रह,रह,0
समारोह,समारोह,0
उस,उस,0
टाइम,टाइम,0
उगवा,उगवा,0
थे,थे,0
खेल,खेल,0
बाहर,बाहर,0
मोबाइल,मोबाइल,0
और,और,0
अपने,अपने,0
मैं,मैं,0
में,में,0
तो,तो,0
तो,तो,0
के,के,0
वहाँ,वहाँ,0
हमारा,हमारा,0
से,से,0
जो,जो,0
ज़्यादा,ज़्यादा,0
फ़ायदा,फ़ायदा,0
ही,ही,0
राजस्थान,राजस्थान,0
उन्हें,उन्हें,0
मैं,मैं,0
तक,तक,0
जाती,जाती,0
ही,ही,0
आवश्यक,आवश्यक,0
बीमार,बीमार,0
में,में,0
पाँच,पाँच,0
अमेरिका,अमेरिका,0
मेरा,मेरा,0
से,से,0
बोलेगा,बोलेगा,0
गूगल,गूगल,0
स्मार्टफ़ोन,स्मार्टफ़ोन,0
वहाँ,वहाँ,0
इसलिए,इसलिए,0
अपना,अपना,0
बता,बता,0
की,की,0
में,में,0
जाता,जाता,0
नया,नया,0
शर्ट,शर्ट,0
है,है,0
तब,तब,0
हम,हम,0
ने,ने,0
कंट्रीज़,कंट्रीज़,0
नाम,नाम,0
निकले,निकले,0
तरीके,तरीके,0
अस्वच्छ,अस्वच्छ,0
करता,करता,0
से,से,0
जल्द,जल्द,0
मीडिया,मीडिया,0
जगहों,जगहों,0
ऐसी,ऐसी,0
चीज़ें,चीज़ें,0
खिचवानी,खिचवानी,0
तो,तो,0
उनसे,उनसे,0
है,है,0
में,में,0
यहाँ,यहाँ,0
करते,करते,0
काम,काम,0
लेकिन,लेकिन,0
देता,देता,0
मैंने,मैंने,0
दिया,दिया,0
ये,ये,0
मैंने,मैंने,0
नहीं,नहीं,0
काम,काम,0
जब,जब,0
काम,काम,0
था,था,0
बहुत,बहुत,0
तरीके,तरीके,0
है,है,0
का,का,0
अच्छे,अच्छे,0
रम्बे,रम्बे,0
से,से,0
पेपल,पेपल,0
चालू,चालू,0
को,को,0
हैं,हैं,0
लाल,लाल,0
वेद,वेद,0
काफ़ी,काफ़ी,0
लालूटी,लालूटी,0
काफ़ी,काफ़ी,0
सकते,सकते,0
हमारे,हमारे,0
भाषा,भाषा,0
हिंदी,हिंदी,0
का,का,0
जो,जो,0
बनी,बनी,0
का,का,0
की,की,0
का,का,0
और,और,0
है,है,0
सांस्कृतिक,सांस्कृतिक,0
एक,एक,0
ही,ही,0
क्या,क्या,0
आने,आने,0
ए,ए,0
अगर,अगर,0
की,की,0
कोई,कोई,0
हेयर,हेयर,0
बेहतर,बेहतर,0
क्या,क्या,0
ले,ले,0
भी,भी,0
बता,बता,0
नहीं,नहीं,0
हैं,हैं,0
में,में,0
दर्द,दर्द,0
तो,तो,0
ये,ये,0
आप,आप,0
कोई,कोई,0
मानसिक,मानसिक,0
नहीं,नहीं,0
लेना,लेना,0
और,और,0
करवट,करवट,0
गलत,गलत,0
लगाते,लगाते,0
तो,तो,0
कितने,कितने,0
आने,आने,0
और,और,0
तो,तो,0
मैं,मैं,0
पानी,पानी,0
से,से,0
रहता,रहता,0
चकनी,चकनी,0
नहीं,नहीं,0
आप,आप,0
कौनकौन,कौनकौन,0
अन,अन,0
बताइए,बताइए,0
है,है,0
ग्रेवी,ग्रेवी,0
मिल,मिल,0
मैडम,मैडम,0
पेमेंट,पेमेंट,0
मैं,मैं,0
सभी,सभी,0
पेमेंट,पेमेंट,0
मटन,मटन,0
सी,सी,0
साथ,साथ,0
के,के,0
पाँच,पाँच,0
तो,तो,0
है,है,0
है,है,0
धीरेधीरे,धीरेधीरे,0
है,है,0
करवाएंगे,करवाएंगे,0
आँखें,आँखें,0
hआh,hआh,0
देंगे,देंगे,0
क्या,क्या,0
हमारे,हमारे,0
आज,आज,0
रखी,रखी,0
ना,ना,0
हाँ,हाँ,0
लेकर,लेकर,0
सुबह,सुबह,0
लगेगी,लगेगी,0
बात,बात,0
नज़दीक,नज़दीक,0
ही,ही,0
ऐज,ऐज,0
क्या,क्या,0
ऐज,ऐज,0
है,है,0
क्या,क्या,0
मैम,मैम,0
जी,जी,0
रहे,रहे,0
लगभग,लगभग,0
रह,रह,0
यहाँ,यहाँ,0
सांगानेर,सांगानेर,0
मेरे,मेरे,0
भेज,भेज,0
हैं,हैं,0
को,को,0
देखो,देखो,0
किस्ता,किस्ता,0
आइसक्रीम,आइसक्रीम,0
दूध,दूध,0
आपने,आपने,0
में,में,0
आपको,आपको,0
दूँगा,दूँगा,0
पहले,पहले,0
जाएगी,जाएगी,0
जाएंगे,जाएंगे,0
बता,बता,0
जाके,जा के,1
पाऊँगा,पाऊँगा,1
खत्म,खतम,1
अंदर,अन्दर,1
ख़राब,खराब,1
जंग,ज़ंग,1
फोन,फ़ोन,1
पाऊँगा,पाउँगा,1
बताएं,बताएँ,1
पैक,पेक,1
रुपए,रूपए,1
करके,कर के,1
रुपए,रूपए,1
पैंतालीस,पैतालीस,1
रुपए,रूपए,1
बिल्कुल,बिलकुल,1
ना,न,1
सीजन,सीज़न,1
जी जी,जीजी,1
सीजन,सीज़न,1
सीजन,सीज़न,1
भई,भाई,1
बिल्कुल,बिलकुल,1
साफ़सुखरा,साफ़सुथरा,1
देखिये,देखें,1
साफ़सुखरे,साफ़सुथरे,1
सीजन,सीज़न,1
तेज,तेज़,1
समझें,समझिए,1
समझें,समझिए,1
वही,वो ही,1
फ़र्क,फर्क,1
पर,पे,1
पैंतीस हज़ार,पैंतिस हजार,1
रुपए,रूपए,1
पैंतीस हज़ार,पैंतीस हजार,1
चालीस हज़ार,चालीस हजार,1
अच्छा अच्छा,अच्छाअच्छा,1
रामचंद जी,रामचन्द्र जी,1
रामचंद जी ने,रामचन्द्र जी ने,1
हाँ जी,हांजी,1
टैंक,टेंक,1
टैंक,टेंक,1
हज़ार,हजार,1
टैंक,टेंक,1
फ़ैमिली,फैमिली,1
भई,भाई,1
फ़ैमिली,फैमिली,1
बनाके,बना के,1
दूँगा,दूंगा,1
ट्राई,ट्राइ,1
मुझे,मेरे को,1
देखिए,देखो,1
बिदाउट,विदाउट,1
यूनिफ़ॉर्म,युनिफ़ार्म,1
करके,कर के,1
पहुंचा,पहुँचा,1
मोसली,मोस्टली,1
पर,पे,1
रिचुअल्स,रिचुअल जो,1
वो लोग,लोग वो,1
पर,पे,1
हाथों,हाथो,1
पर,पे,1
फॉरेनर्स,फोरेननर्स,1
पर,पे,1
पर,पे,1
जाकर,जा कर,1
मेरिट,मैरिड,1
जाकर,जाके,1
रिच्वल्स,रिचुअल्स,1
फ़ोर्ट,फोर्ट,1
पर,पे,1
पर,पे,1
उस पर,उसपे,1
आँच,आंच,1
आई,आयी,1
पर,पे,1
पहले,पहली,1
पर,पे,1
पर,पे,1
पत्नी,पत्नि,1
मंडोदरी,मंदोदरी,1
पीयर,पीहर,1
मंडोत्री,मंदोदरी,1
जाकर,जाके,1
पर,पे,1
सुंदर,सुन्दर,1
पर,पे,1
राजाएँ,राजाएं,1
फ़ोर्ट,फोर्ट,1
पर,पे,1
न्यू यॉर्क,न्यूयॉर्क,1
रूस,रशिया,1
लंडन,लंदन,1
इससे,इस से,1
उनको,उन को,1
इससे,इस से,1
फ़िन केयर,फ़िन्कैर,1
स्माल,इस्मौल,1
फ़ाइनेंस,फ़ाइनैन्स,1
दिखाएँ,दिखाएं,1
ज़िले,जिले,1
मीनाओं,मीणाओं,1
फ़ील,फील,1
ना,न,1
ना,न,1
ना,न,1
लसन,लहसुन,1
प्याज,प्याज़,1
ना,न,1
नहीं,नही,1
बाज़ार,बाजार,1
घंटा घर,घंटाघर,1
पर,पे,1
पर,पे,1
गहने,गहनें,1
पे,पर,1
खरीदने खरीदने,खरीदनेखरीदने,1
जाके,जाकर,1
अट्ठारह,अठारह,1
शॉट टेक,सोटेक,1
फ़ायदा,फायदा,1
पहुँचाया,पहुंचाया,1
ज़ुकाम,जुखाम,1
गाँवों,गाँवो,1
नुक्खे,नुक्से,1
नुक्खे,नुक्से,1
डाल के,डालके,1
ज़ुकाम,जुखाम,1
ज़ुकाम,जुकाम,1
सादियों,शादियों,1
कुएं,कुँएँ,1
कुएं,कुँएँ,1
दवाइयाँ,दवाईयाँ,1
दवाइयों,दवाईयों,1
फिटकौड़ी,फ़िटकौड़ी,1
फिट करी,फ़िटकरी,1
विशेष कर,विशेषकर,1
ना,न,1
क्योंकि,क्युकी,1
नज़रों,नजरों,1
एकएक,एक एक,1
करूँगा,करूंगा,1
पर,पे,1
तरह,तरहे,1
में,मे,1
पर,पे,1
पर,पे,1
मिलताचूलता,मिलताजुलता,1
गेहूं,गेंहू,1
में,मे,1
पर,पे,1
फ़ायदा,फायदा,1
बिन,भिन्न,1
जो,ज़ो,1
जी,ज़ी,1
पर,पे,1
पर,पे,1
हाँ जी,हाँजी,1
राम कुमार,रामकुमार,1
शक्ति नगर,शक्तिनगर,1
वो,वह,1
वो,वह,1
स्मार्टफ़ोन,स्मार्टफोन,1
वो,वह,1
इसलिए,इसीलिए,1
फ़ोनपे,फोनपे,1
पर,पे,1
जन जीवन,जनजीवन,1
सुंदरसुंदर,सुन्दरसुन्दर,1
उस पर,उसपे,1
वो,वह,1
जैसे जैसे,जैसेजैसे,1
उस ने,उसने,1
कंट्रीज़,कन्ट्रीज़,1
फ़्रांस,फ्रांस,1
केनेडा,कैनेडा,1
सफ़र,सफर,1
फ़र्ज़,फर्ज़,1
कार्य करता,कार्यकर्ता,1
कारवाई,कार्यवाई,1
सुंदरसुंदर,सुन्दरसुन्दर,1
खींचवाकर,खिंचवाकर,1
सुंदर,सुन्दर,1
सुंदर,सुन्दर,1
सुंदर हैं,सुन्दर है,1
फ़ोटो,फोटो,1
मेर,मेरे,1
खिचवानी,खिंचवानी,1
सुंदरसुंदर,सुन्दरसुन्दर,1
खिचवा,खिंचवा,1
हिंदी,हिन्दी,1
पर,पे,1
ये,यह,1
वो,वह,1
ये,यह,1
खत्म,ख़त्म,1
फ़्री हो के,फ्री होकर,1
मैंने,मेने,1
ये,यह,1
कि,की,1
बारबार,बार बार,1
ये,यह,1
ये,यह,1
और,ओर,1
ये ही,यही,1
और,ओर,1
रहकर,रह कर,1
वह,व,1
पेपल,पेपैल,1
हैं,हें,1
बनवाकर,बनवा कर,1
प्रकाश,प्रकास,1
सोलनकी,सोलंकी,1
बाहुलाल,बाबूलाल,1
नगर,नागर,1
जोशी,जोसी,1
लाल चंद,लालचंद्र,1
कट्टारिया,कटारिया,1
कालीचरन,कालीचरण,1
लालूटी,लालोटी,1
की,कि,1
पूरे,पुरे,1
ऊपर,उपर,1
यह,ये,1
सिगरेट,सिजरेट,1
पर,पे,1
सैलून,सलौन,1
सैलून,सलौन,1
सलून,सलौन,1
फैसिलिटी,फ़ैसिलिटी,1
ए सी,एसी,1
नॉन ए सी,नॉन एसी,1
जानी,जाननी,1
हेयर,हेअर,1
हेयर,हेअर,1
नहीं नहीं,नहींनहीं,1
व्हाट्सएप,व्हाट्सअप,1
लोकेशन,लोकैशन,1
रूप,रुप,1
नंबर,नम्बर,1
फ़ोन,फोन,1
थकिया,तकिया,1
पोस्टर,पोस्चर,1
कहाँ कहाँ,कहाँकहाँ,1
तकेया,तकिया,1
रूई,रुई,1
रूई,रुई,1
फ़ोन,फोन,1
दाल चावल,दालचावल,1
सब्जी रोटी,सब्जीरोटी,1
करूँगी,करुँगी,1
फ़िलाल,फिलहाल,1
मिला के,मिला कर,1
न न,ना ना,1
अच्छा अच्छा,अच्छाअच्छा,1
ना,न,1
एक सिंपल,एक सिम्पल,1
पस्ली,पसली,1
ये,यह,1
डिलिवरी,डिलेवरी,1
दूँगा,दूंगा,1
आपको,आप को,1
कि,की,1
ये,यह,1
कि,की,1
वैरायटी,वेरायटी,1
गैरेबी,ग्रेवी,1
रुपये,रुपए,1
फुल,फूल,1
हाफ़्फ़,हाफ,1
उसके,उस के,1
थोड़ा थोड़ा,थोड़ाथोड़ा,1
इसलिए,इस लिए,1
लेके,ले के,1
आइये,आइए,1
उनके,उन की,1
आयरेस,आइरिस,1
उनके,उन के,1
उनके,उन के,1
थायरड,थायराइड,1
बायोकेमिस्ट्री,बायो केमिस्ट्री,1
रेटिना,रैटिना,1
करके,कर के,1
लेकर,ले के,1
आ sजाएगाs,आ जाइएगा,1
hआपh,आप,1
लेकर,ले के,1
hकरh,कर,1
आके,आ के,1
उनके,उन के,1
जाँचें,जाँचे,1
बता करके,बता कर के,1
आपको,आप को,1
hभेजh,भेज,1
आपको,आप को,1
hआh,आ,1
sजाएगाs,जाएंगे,1
पहले,पहला,1
आकर,आ के,1
सैटरडे,साटर्डे,1
सैटरडे,साटर्डे,1
आपको,आप को,1
वगैरह,वग़ैरह,1
आजकल,आज कल,1
लेंस,लेन्स,1
डिलिवर,डेलिवर,1
लेकर,ले के,1
आपको,आप को,1
रुपए,रुपये,1
उसमें,उस में,1
प्रॉब्लम,प्रोब्लम,1
पापा,पप्पा,1
ऐज,एज,1
इनको,इन को,1
उनको,उन को,1
चालीस,चालिस,1
यही,ये,1
कॉस्ट,कोस्ट,1
लगभग लगभग,लगभगलगभग,1
एवरेज,ऐवरेज,1
थाने,थाड़े,1
ओयल,ऑइल,1
पैकेट,पेकेट,1
हमने,अपन ने,1
करीबन,तकरीबन,1
ऑयल,ऑइल,1
वनीला,वनिला,1
स्टोबेरी,स्ट्रॉबेरी,1
किस्ता,पिस्ता,1
ना,न,1
वनीला,वनिला,1
फ़ैमिली,फैमिली,1
फ़ैमिली,फैमिली,1
दूँगा,दूँगा,1
नहीं नहीं,नहींनहीं,1
बता दीजिए,बता दीजिये,1
वो,वह,1
आर्डर,ऑर्डर,1
दूंगा,दूँगा,1
बोल रहे हैं,बोल रहें,2
दिया,दिए,2
आ चुके,आ चुके हैं,2
केले भी,केला भी,2
आम है,आम हैं,2
की,के,2
की है,किया है,2
रही है,रहे,2
होती है,होती हैं,2
रखती हैं,रखती है,2
हाथों में,हाथ में,2
होती है,होती हैं,2
कपल,कपल्स,2
के,की,2
देखिये,देखेंगे,2
के,की,2
हैं,है,2
बनती हैं,बनती है,2
के,की,2
जाते हैं,जाते है,2
कहते हैं,कहते है,2
गए,गयी,2
की,के,2
रूप से,तौर पर,2
मिलेगी,मिलेंगी,2
हैं,है,2
है,हैं,2
ऐसे,ऐसी,2
पानी में,पानियों में,2
होना,होने,2
सके,सकें,2
संख्या,तादाद,2
संख्या,तादाद,2
अन्य,दूसरे,2
लगता है,लगता हैं,2
नहीं है,नहीं हैं,2
प्रयास,प्रयत्न,2
सुविधा है,सु सुविधाएँ हैं,2
करते,करता,2
थीं,थी,2
कटोरियों,कटोरियाँ,2
आ गई थीं,आ गई थी,2
हैं,है,2
की,के,2
हैं,है,2
तस्वीरें,तस्वीरे,2
की,कि,2
ऐसी,ऐसे,2
हैं,है,2
हैं,है,2
मिलते,मिलता,2
के,कि,2
अच्छे,अच्छी,2
खिचेरियाबाज,खिचरियवास,2
राजंत,राजेंद्र,2
हैं,है,2
स,सं,2
हमारा,हमारे,2
सकते हैं,सकते है,2
इसके,इसपे,2
हैं,है,2
पीसें,पीस,2
बनाती हैं,बनाती है,2
आपका,आपके,2
हमारे,हमारा,2
आपको,आप,2
आपके,आपका,2
के,का,2
हैं,है,2
के,की,2
क्रिमबेज,क्रीम बेस,2
बोला,बोल,2
की,के,2
हैं,है,2
की,के,2
की,के,3
लेड,तो लेट,3
उसमें वॉशर,वॉशर,3
सकता,सकता है,3
अब ही,आ भी,3
उनको,उनके,3
मैं,हमें,3
आप,अब,3
मैं,में,3
अब ,आप ,3
तब,अब,3
दस ही,तो अस्सी,3
अकेले,केले तो,3
फरफ्रुट,फल फ्रूट,3
खानेमाने,खानेवाने,3
ज़्यादा,ज़्यादा है,3
से आम,आम,3
मंडी,मंडी है,3
भी यही,यही,3
पर,से,3
पड़ रहा,पड़ेगा,3
हम,हम भी,3
उसमें ,उतने में ,3
वाला ,वो वाला ,3
हम,आम,3
हम,आम,3
या,या तो,3
पर,то,3
अब,अब अगर,3
क्योंकि,भी,3
है ,मैं ,3
आए,आए हो,3
बोल,बोलते,3
रामचंद,रामचन्द्र,1
जी,जी ने,3
पैकेज,पैंतीस,3
चलो,जरूर,3
बार,बाय,3
पता नहीं उसका,पैंतालीस का,3
अट्ठास,अच्छा,3
आप को,आपको,1
भी,भाई,3
को ,कहो ,3
भाई ,भई ,1
हमारे,हमारा,2
या आप ,आप ,3
रेट,रहेगी,3
जो,फिर,3
फिर,खैर,3
हमें,हम,3
यहाँ हमारी,हमारी,3
हमारी,हमारी भी ,3
मेहनत,मैंने,3
इतना ज़रा,इतना,3
पे,फिर,3
सेकंड ,लेकिन ,3
और,और वो,3
मुझे कुछ,मुझे,3
कहा,का,3
तो राजपूतों,राजपूतों,3
कि जिसकी,जिसकी,3
माँ काली,महाकाली,2
ठंडा,ठंडक,3
ठंडा,ठंडक,3
जीलों,चीलों,3
बाहर से,बासी,3
छ: छ: से,अच्छेअच्छे,3
हैं,है,2
आते,बनाते,3
पकवानन ,पकवान ,1
कि,ही,3
भी,व्याह,3
हाँ एवरेज,एवरेज,3
हूँ,हैं,2
बोलता ,बोलते ,2
हैं जो,हैं,3
सारे,से,3
गायक,गाएपाल,3
खाते,गाते,3
खाने ,गाने ,3
अच्छे अच्छे ,अच्छे ,3
म्यूजियम से,से,3
बड़ा है,बड़ा,3
चुराखिलाई,चुरा कर लायी,3
कि मटन,मटन,3
जैसे,इस वजह से,3
कुशन,को सन,3
कैसी,एक ऐसी,3
जाता है,जाए तो,3
ध्यान,उद्यान,3
हैं उनके,उनका,3
फैलाया,फेर लिया,3
ली,दी,3
खास तौर,ख़ासकर,3
पहनना,पहनावा,3
होलती,होती,3
हिंदी,हिंदी ही,3
कोच,कुछ,3
सातवी,साथ ही,3
कथानक,कतई,3
इससे,इसे,3
सामान,समान,3
जगह,जगह है,3
उनको,उनको एक,3
मैं,में,3
बैठकक्रम,पाठ्यक्रम,3
एक,ये एक,3
उससे,उसे,3
पिचले,प्रचलित,3
बह,भाग,3
किया,किया किया,3
तथा,त,3
जैसे,जिसे,3
उगवा,हुआ,3
बड़े यहाँ,बढ़िया,3
बाहर ही,बाहर,3
कलाकार,कलाकारी,3
भी,ही,3
के साथ,से,3
राज्य ,राज्यों ,3
अजाइब कर,अजेबघर,3
पर,ये,3
खादीस,खाद्य,3
खादीस,खाद्य,3
खादी,खाद्य,3
से,से बात,3
कैवल ,ट्रेवल्स जी ,3
में,में एक,3
खोलना,को जाना,3
स्मार्टफोन,स्मार्ट,3
जाता,ज़्यादा,3
अस्थिरस्त,अस्तव्यस्त,3
शर्ट,सेट,3
क्रॉकर ,क्रॉकरी ,3
क्रॉकरी,वह क्रॉकरी,3
शर्ट,सेट,3
क्रॉकर ,क्रॉकरी ,3
उस,इस,3
तब उस,उस,3
भर,बाहर,3
उत्त उत्त ,उत्त,3
पर मैंने,मैंने,3
जब हम,जब,3
शादी,लग,3
में,मैं,3
मीड,मी,3
है,है है,3
का काम ,काम ,3
ज़वाज़ा,द्वारा,3
अन्य कम,अन्यतम,3
प्रसिद्ध,प्रचलित,3
क्षेत्रीय,क्षेत्र,3
की,कही,3
लिया,लें,3
करते,करते हैं,3
यहाँ,आप,3
शुगर,शुरू कर,3
कि,क्या,3
चलाया,चला,3
पूरा,कि पूरा,3
भाई,बजे,3
होती,होती थी,3
रम्बे,लंबे,3
फ़ास्टटेक,फास्टैग,3
जो,वो,3
पक के,पक्के,3
रही वृद्धि,रही,3
श्राप,सराफ़,3
विदेशी,विदेशी और,3
का से,से,3
हुई,हुई है,3
प्रश्न,पुस,3
और,और और,3
सांस्कृतिक,संस्कृति,3
आधार,मूलाधार,3
यह,इस ये,3
देना,लेना,3
कैसे,कैसी है,3
अगर बताते हो,बताते,3
होता,होता है,3
आदर्शी,आदत सी,3
सुनते हो,सलौन पर,3
आप क्या ,आपके ,3
कुछ,आप कुछ,3
है अगर,अगर,3
ऐयर,हेअर,1
बाग ,बाल ,3
कर,कट,3
कर,अगर,3
बता ,बताए ,2
होता है,होता,3
है आपके,आपके,3
तो सिर,तोसिरसर,3
मैं,में,3
का,पर,3
मेद,नींद,3
तो,गद्दा,3
तो क्या,तकिया,3
तो क्या,तकिया,3
और स्कूल,स्कूल,3
इडिनरी,सीधा डिनर ही,3
से ,में ,3
डिनर,डिनर ही,3
से लाल,फिलहाल,3
नास्त्रीयता ,नाश्ते में तो ,3
फैला,फुला,3
सारी,हरी,3
है,उसमें,3
सब्जस्ट ,सब्जियाँ ,3
चकनी,चटनी,3
गेहूं,ग्रेवी,3
हम हिमवर्तन ,मटन ,3
बताइए,बताए,1
ये तो ,एक चीज़ ,3
अन,नान,3
बटन ,बटर ,3
आप,नान आप,3
ये बटन ,मटन ,3
ग्रेडी,ग्रेवी,3
सब,साथ,3
क्या के ,के ,3
ये,या,3
ही एक,यह,3
बटरनम,बटर नान,3
मटर,मटन,3
लेफ,प्लेट,3
रपौथा,पुट्ठा,3
सर,पर,3
दे दूंगा ,एड्रेस,3
मैं,मेरे,2
चाहूँगी,पँहुचा देंगी,3
आपको,आप,2
मिल के ,मुझे कितनी ,3
फिर,देर,3
मैं,में,3
मैं इसका,मैं,3
है,मैं,3
ना,न,2
कैशिंग,कैश ऑन,3
यहाँ जा,बता,3
बस,पर,3
आपको,एक चीज़,3
दीजिए कि,दीजिए,3
आपके पास ,आपका,3
सभी,सवेग,3
वैरायटी,कितनी वेरायटी ,3
हैं,है,2
इस दावत,दावत,3
मेरे को,मैं,3
आपके पास ,आपके,3
अजन्नी मटर,मटन,3
के साथ,साथ,3
पाँच सौ,पचास,3
तो फिर,कितनी,3
स्कार्पीज़,चार पीस,3
ये,या,3
मोज़ा बंद,मोतियाबिंद,3
जगहें,देखेंगे,3
अकाउंट,काउंट,3
करवाएंगे,ठीक करवाएंगे,3
जैसे,ये एच एस,3
अपना,का,3
लेकर,कर लेकर,3
देंगे,भेज देंगे,3
हो,आ,3
जैसे के,जिस जिस भी,3
बताया है,बताया,3
आएगा,होगा,3
आएगा,होगा,3
लिखाना,ले के आना,3
का,किया,3
किस प्रकार,किस,3
का लेंस,लेंस,3
में,आप,3
आ जाओगे,आओगे,3
ठीक,फीस,3
बात,बाक़ी,3
दिख ही,दिखाई दे,3
दिख ही रहा है,दिखाई दे,3
मोजाबिंदौर का,मोतियाबिंद हो रखा,3
आँखें,आँख,2
आकर,आँखें,3
मोचपेन धोकर का,मोतियाबिंद हो रखा,3
शायद तक ,शायद ,3
वो एज,एज,3
होता है,होता,3
वो,बस,3
हुआ है,हुआ,3
हाँ एवरेज,एवरेज,3
सांगानेर,साहनेल,3
जा,जो,3
को,मेरे को,3
देते हैं,देते,3
बीजवा,भिजवा,3
पांगलोई,पान गिलोई,3
ही और,ही,3
